,Index,Score
1102,1102,227.0
1103,1103,226.0
1104,1104,208.0
1105,1105,220.0
1106,1106,216.0
1107,1107,219.0
1110,1110,216.0
1111,1111,215.0
1113,1113,218.0
1114,1114,216.0
1116,1116,225.0
1117,1117,217.0
1119,1119,218.0
1120,1120,219.0
1121,1121,221.0
1122,1122,211.0
1123,1123,218.0
1129,1129,216.0
1130,1130,219.0
1131,1131,218.0
1133,1133,219.0
1134,1134,206.0
1135,1135,214.0
1136,1136,217.0
1137,1137,216.0
1138,1138,208.0
1139,1139,220.0
1140,1140,211.0
1141,1141,181.0
1143,1143,218.0
1144,1144,208.0
1145,1145,208.0
1146,1146,209.0
1147,1147,209.0
1148,1148,207.0
1149,1149,207.0
1150,1150,215.0
1151,1151,212.0
1155,1155,192.0
1156,1156,232.0
1157,1157,241.0
1160,1160,223.0
1162,1162,220.0
1163,1163,215.0
1164,1164,193.0
1166,1166,216.0
1171,1171,238.0
1174,1174,238.0
1175,1175,238.0
1178,1178,237.0
1179,1179,238.0
1180,1180,241.0
1181,1181,238.0
1182,1182,238.0
1183,1183,238.0
1184,1184,238.0
1185,1185,226.0
1186,1186,238.0
1187,1187,238.0
1188,1188,238.0
1189,1189,238.0
1190,1190,234.0
1191,1191,238.0
1192,1192,211.0
1193,1193,204.0
1195,1195,226.0
1196,1196,222.0
1197,1197,238.0
1198,1198,140.0
1199,1199,146.0
1200,1200,135.0
1201,1201,238.0
1202,1202,160.0
1203,1203,213.0
1204,1204,238.0
1205,1205,159.0
1206,1206,202.0
1207,1207,137.0
1208,1208,238.0
1209,1209,146.0
1210,1210,188.0
1211,1211,170.0
1212,1212,176.0
1213,1213,144.0
1214,1214,238.0
1215,1215,185.0
1216,1216,173.0
1217,1217,194.0
1218,1218,140.0
1219,1219,186.0
1220,1220,151.0
1221,1221,160.0
